연번,시군명,시설명,주소
1257,진주시,조동경로당,진주시 금산면 갈전길 50 
1258,진주시,속사경로당,진주시 금산면 속사길 88 
1259,진주시,송백경로당,진주시 금산면 송백로 330 
1260,진주시,구암경로당,진주시 금산면 월아산로1929번길 26 
1261,진주시,청천경로당,진주시 금산면 청천길 14 
1262,진주시,중천경로당,진주시 금산면 금산로57번길 7 
1263,진주시,금호경로당,진주시 금산면 금산로 130( 금호맨션 1동 108호) 
1264,진주시,상의경로당,진주시 금산면 상의길 46 
1265,진주시,덕의경로당,진주시 금산면 덕의길 117 
1266,진주시,덕정경로당,진주시 금산면 금산순환로 109 
1267,진주시,현지경로당,진주시 금산면 금산순환로76번길 1 
1268,진주시,사동경로당,진주시 금산면 금산순환로 549 
1269,진주시,흥한골든빌A경로당,"진주시 금산면 금산로 123, 3층(금산흥한골든빌) "
1270,진주시,느티나무경로당,"진주시 금산면 중천로 74,2층(느티나무A) "
1271,진주시,금산아이파크경로당,진주시 금산면 중천로 82(금산아이파크A) 
1272,진주시,진주푸르지오1단지경로당,진주시 금산면 덕의길 15(진주푸르지오1단지A) 
1273,진주시,진주푸르지오2단지경로당,진주시 금산면 덕의길 11-1(진주푸르지오2단지A) 
1274,진주시,e-편한세상경로당,진주시 금산면 금산순환로80번길 16(e편한세상A) 
1275,진주시,두산위브경로당,진주시 금산면 중장로154번길 49(두산위브A) 
1276,진주시,진흥더루벤스경로당,진주시 금산면 금산로 22(진흥더루벤스) 
1277,진주시,지내경로당,진주시 지내길 117번길 2 
1278,진주시,현동경로당,진주시 지내길 217 
1279,진주시,봉강경로당,진주시 진산로 645번길 26 
1280,진주시,원동경로당,진주시 진주성로 735 
1281,진주시,사촌경로당,진주시 진주성로 348번길 25 
1282,진주시,기동경로당,진주시 진주성로 414번길 7-7 
1283,진주시,대암경로당,진주시 진산로 1165번길 17 
1284,진주시,혈암경로당,진주시 진산로 1034 
1285,진주시,정평경로당,진주시 응석로 220 
1286,진주시,평방경로당,진주시 응석로 95 
1287,진주시,정수경로당,진주시 진산로1391번길 6-1 
1288,진주시,냉정경로당,진주시 냉정길 267 
1289,진주시,장흥경로당,진주시 진산로 487번길 11 
1290,진주시,월평경로당,진주시 신당길50번길 18-1 
1291,진주시,신당경로당,진주시 신당길 129 
1292,진주시,죽산경로당,진주시 신당길 210 
1293,진주시,오동경로당,진주시 향양로 89번길 38 
1294,진주시,덕오경로당,진주시 향양로 75번길 18-3 
1295,진주시,불너머경로당,진주시 불너머길 280번길 1 
1296,진주시,평촌경로당,진주시 남강로 2042-4 
1297,진주시,덕성경로당,진주시 향양로 217번길 62-2 
1298,진주시,금빛경로당,진주시 진산로 675(금빛현대아파트) 
1299,진주시,동향경로당,진주시 향양로788번길 4 
1300,진주시,개심경로당,진주시 향양로 666 
1301,진주시,장죽경로당,진주시 향양로 576-1 
1302,진주시,반지경로당,진주시 향양로 448 
1303,진주시,삭성경로당,진주시 향양로365번길 24 
1304,진주시,오방경로당,진주시 오방로 711 
1305,진주시,점촌경로당,진주시 오방로 552 
1306,진주시,성호경로당,진주시 오방로311번길 6 
1307,진주시,정호경로당,진주시 오방로199번길 49 
1308,진주시,정별경로당,진주시 오방로371번길 27 
1309,진주시,정성경로당,진주시 오방로441번길 13 
1310,진주시,어옥경로당,진주시 어옥로 178 
1311,진주시,덕진경로당,진주시 널방재길195번길 31 
1312,진주시,대곡경로당,진주시 상미로 469 
1313,진주시,기전경로당,진주시 상미로 303 
1314,진주시,신촌경로당,진주시 상미로 198 
1315,진주시,미곡경로당,진주시 상미로 71 
1316,진주시,북동경로당,진주시 오방로1088번길 42 
1317,진주시,내인경로당,진주시 오방로 1099-4 
1318,진주시,내리실경로당,진주시 진산로1623번길 12 
1319,진주시,임곡경로당,진주시 미천면 안간길 70 
1320,진주시,정촌경로당,진주시 효자길23번길 8 
1321,진주시,효자경로당,진주시 효자길 158-1 
1322,진주시,관지경로당,진주시 관덕길28번길 1
1323,진주시,신촌경로당,진주시 광제산로 283
1324,진주시,신촌정자경로당,진주시 남성로 33-5
1325,진주시,삭평경로당,진주시 광제산로108번길 5
1326,진주시,왕지경로당,진주시 남성로128번길 30
1327,진주시,왕지동성경로당,진주시 한치골길230번길 36-1
1328,진주시,추동경로당,진주시 남성로 217
1329,진주시,남성경로당,진주시 남성로 443
1330,진주시,장흥경로당,진주시 남성로689번길 99
1331,진주시,덕곡경로당,진주시 관덕길126번길 5
1332,진주시,토담경로당,진주시 관덕길187번길 24-2
1333,진주시,계원경로당,진주시 광제산로 650
1334,진주시,계원갈전경로당,진주시 관덕길261번길 9
1335,진주시,홍지경로당,진주시 광제산로 743
1336,진주시,신기경로당,진주시 광제산로 936
1337,진주시,동전경로당,진주시 광제산로 833번길 8
1338,진주시,외율경로당,진주시 외율길37
1339,진주시,내율경로당,진주시 외율길207번길7-1
1340,진주시,팔미경로당,진주시 팔미길13번길 25-8
1341,진주시,내팔미경로당,진주시 팔미길 135-43
1342,진주시,오미경로당,진주시 진주대로 2136-6
1343,진주시,오미이주경로당,진주시 진주대로2143번길 2-15
1344,진주시,시목경로당,진주시 진주대로2122번길 7-3
1345,진주시,가화경로당,진주시 가화로 393
1346,진주시,서현경로당,진주시 가화로 605
1347,진주시,용산경로당,진주시 진주대로1859번길 5
1348,진주시,조비경로당,진주시 진주대로1706번길 23
1349,진주시,비실경로당,진주시 진주대로1706번길 153
1350,진주시,우수경로당,진주시 진주대로1807번길 17
1351,진주시,우수새마을경로당,진주시 판문로575번길 26
1352,진주시,나불경로당,진주시 나불로 277-9
1353,진주시,동신A경로당,진주시 광제산로11-21
1354,진주시,대평경로당,진주시 대평면 한들길42번길 15 
1355,진주시,어은경로당,진주시 대평면 한들길 42번길 5 
1356,진주시,하촌경로당,진주시 대평면 호반로 975-34 
1357,진주시,사평경로당,진주시 대평면 호반로 789-15 
1358,진주시,당촌경로당,진주시 대평면 호반로 736 
1359,진주시,내촌경로당,진주시 대평면 호반로486번길 21 
1360,진주시,신풍경로당,진주시 대평면 신풍길 201 
1361,진주시,자매경로당,진주시 수곡면 사곡로 699 
1362,진주시,월계경로당,진주시 수곡면 곤수로1407번길 40 
1363,진주시,대우경로당,진주시 수곡면 사곡로489번길 17 
1364,진주시,대각경로당,진주시 수곡면 곤수로 1254 
1365,진주시,사곡경로당,진주시 수곡면 사곡로128번길 20 
1366,진주시,덕곡경로당,진주시 수곡면 사곡로90번길 11 
1367,진주시,구태경로당,진주시 수곡면 사곡로213번길 42 
1368,진주시,사방경로당,진주시 수곡면 시묘산길 96 
1369,진주시,대천경로당,진주시 수곡면 옥수로 649-1(1층) 
1370,진주시,금동경로당,진주시 수곡면 옥수로637번길 46 
1371,진주시,직금경로당,진주시 수곡면 옥수로555번길 7(1층) 
1372,진주시,조계경로당,진주시 수곡면 덕천로268번길 16 
1373,진주시,창촌경로당,진주시 수곡면 옥수로 461 
1374,진주시,문정경로당,진주시 수곡면 원창길336번길 8 
1375,진주시,효동경로당,진주시 수곡면 곤수로865번길 66 
1376,진주시,중전경로당,진주시 수곡면 중전길 192 
1377,진주시,요산경로당,진주시 수곡면 곤수로898번길 3 
1378,진주시,효남경로당,진주시 수곡면 곤수로 728(1층) 
1379,진주시,원내경로당,진주시 수곡면 곤수로 599 
1380,진주시,원당경로당,진주시 수곡면 곤수로 556 
1381,진주시,서촌경로당,진주시 수곡면 원창길4번길 37 
1382,진주시,원동경로당,진주시 수곡면 곤수로514번길 60 
1383,진주시,원외경로당,진주시 수곡면 원외길123번길 3 
1384,진주시,신촌경로당,진주시 수곡면 원창길 93 
1385,진주시,광명경로당,진주시 수곡면 원외길22번길 17 
1386,진주시,원계경로당,진주시 수곡면 덕천로504번길 6 
1387,진주시,도량경로당,진주시 수곡면 시묘산길 339 
1388,진주시,동월경로당,진주시 수곡면 덕천로 574 
1389,진주시,천전경로당,진주시 천수로237번길 7-8(망경동) 
1390,진주시,제일경로당,진주시 망경로295번길 8-1(강남동) 
1391,진주시,한보타운경로당,"진주시 망경로 234-7,1층(망경동,망경한보A) "
1392,진주시,강남경로당,진주시 진주대로929번길 10-3(강남동) 
1393,진주시,동성가든타워경로당,"진주시 진주대로 901,1층(강남동,동성가든타워) "
1394,진주시,대경강남타운경로당,"진주시 진주대로891번길 16(강남동,대경강남타운) "
1395,진주시,남가람경로당,진주시 강남로255번길 9-11(칠암동) 
1396,진주시,주약현대A경로당,"진주시 진주대로815번길 11,1층(주약동,주약현대A) "
1397,진주시,남부경로당,진주시 강남로177번길 14-6(칠암동) 
1398,진주시,남강경로당,진주시 동진로49번길 12(칠암동) 
1399,진주시,칠암경로당,진주시 동진로50번길 9-2(칠암동) 
1400,진주시,금호석류마을경로당,"진주시 강남로 45(주약동,금호석류마을) "
1401,진주시,대덕A경로당,"진주시 진주대로942번길 16(칠암동,칠암대덕A) "
1402,진주시,망경경로당,진주시 봉수대길5번길 3(망경동) 
1403,진주시,동신A경로당,"진주시 망진산길 32(망경동,망경동신A) "
1404,진주시,이화A경로당,"진주시 망경남길 31(망경동,이화A) "
1405,진주시,주경경로당,진주시 천수로 126-3(주약동) 
1406,진주시,삼환나우빌A경로당,"진주시 진주대로829번길 21(주약동,삼환나우빌) "
1407,진주시,주동경로당,진주시 진주대로829번길 6-7(주약동) 
1408,진주시,주약경로당,진주시 주약약골길 25-4(주약동) 
1409,진주시,한주럭키타운경로당,"진주시 진주대로 859(주약동,한주럭키A) "
1410,진주시,한주한보타운경로당,"진주시 망경로296번길 17(강남동,한주한보타운) "
1411,진주시,주약한보은빛마을경로당,"진주시 진주대로 789(주약동,주약한보은빛마을) "
1412,진주시,진주일동미라주경로당,"진주시 진주대로 891번길 56, 3층 "
1413,진주시,인사경로당,진주시 진주시 촉석로 70-2 
1414,진주시,서부경로당,진주시 진주시 남강로 629-7 
1415,진주시,남성경로당,진주시 진주시 진양호로428 3-1 
1416,진주시,일심경로당,진주시 진주시 진양호로428 3-1 
1417,진주시,봉곡경로당,진주시 진주시 북장대로60번길 13 
1418,진주시,중안경로당,진주시 진주시 비봉로39번길 2-4 
1419,진주시,오죽경로당,진주시 진주시 북장대로35번길 12 
1420,진주시,옥남경로당,진주시 진양호로625번길 9(옥봉동)
1421,진주시,옥수경로당,"진주시  향교로109번길 41-2,2층(옥봉동)"
1422,진주시,진주경로당,진주시  옥봉길 19(옥봉동)
1423,진주시,남강한주아파트경로당,"진주시  남강로736번길 6-3, 3층 (옥봉동,남강한주타운)"
1424,진주시,장대경로당,진주시  장대로20번길 6-7(장대동)
1425,진주시,옥봉금산경로당,"진주시  향교로90번길 4,1.2층(옥봉동)"
1426,진주시,봉래경로당,진주시  의병로229번길 6-2(봉래동)
1427,진주시,수정경로당,진주시  촉석로217번길 16-5(수정동)
1428,진주시,대림아파트경로당,"진주시  향교로115번길 10(옥봉동,대림A)"
1429,진주시,옥봉LH아파트경로당,"진주시 진산로 20,진주옥봉LH아파트"
1430,진주시,상봉동동경로당,진주시 비봉로 102-5(상봉동) 
1431,진주시,봉양경로당,진주시 북장대로108번길 4-1(상봉동) 
1432,진주시,상봉2A경로당,"진주시 진주성로147번길 10(상봉동,상봉2주공A) "
1433,진주시,못안경로당,진주시 진주성로199번길 11-5(상봉동) 
1434,진주시,한마음경로당,진주시 진주성로99번길 10-4(상봉동) 
1435,진주시,상봉한주타운경로당,"진주시 진주대로1208번길 16(상봉동,상봉한주타운) "
1436,진주시,목련경로당,"진주시 창렬로 129, 2층(상봉동,상봉A) "
1437,진주시,상봉A경로당,"진주시 창렬로 129, 2층(상봉동,상봉A) "
1438,진주시,대룡골경로당,진주시 상봉대룡길5번길 12-11(상봉동) 
1439,진주시,화인A경로당,"진주시 상봉대룡길 18(상봉동,화인A) "
1440,진주시,푸른마을경로당,"진주시 상봉대룡길 37(상봉동,에스디푸른마을A) "
1441,진주시,대봉경로당,진주시 북장대로 70번길3 
1442,진주시,모덕경로당,진주시 모덕로 64번길 10-3 
1443,진주시,진광경로당,진주시 선학산길29번길 15-5 
1444,진주시,상대경로당,진주시 모덕로 129 
1445,진주시,선학경로당,진주시 모덕로 181번길 7 
1446,진주시,상대2동경로당,진주시 대신로275번길 16-3 
1447,진주시,상대한보경로당,진주시 도동천로 120 
1448,진주시,상대한주그린경로당,진주시 선학산길 48 
1449,진주시,상대굥원경로당,진주시 상대로 59-8 
1450,진주시,강나루경로당,진주시 동진로102번길 5-4 
1451,진주시,모자경로당,진주시 모덕로197번길 21 
1452,진주시,하대본동경로당,진주시 모덕로197번길 6 
1453,진주시,도동대림아파트경로당,진주시 하대로40번길 4 
1454,진주시,뒷골경로당,진주시 하대로34번길 18-25 
1455,진주시,일신아파트경로당,진주시 하대로34번길 10 
1456,진주시,도동경로당,진주시 모덕로233번길 20 
1457,진주시,지동경로당,진주시 말티고개로118번길 13 
1458,진주시,대영아파트경로당,진주시 말티고개로 102-5 
1459,진주시,한보3차경로당,"진주시 남강로 1399(하대동, 한보3차아파트) "
1460,진주시,하대대림경로당,"진주시 도동천로310(하대동, 하대대림아파트) "
1461,진주시,하대현대경로당,"진주시 하대로 142(하대동, 현대아파트) "
1462,진주시,삼전1차경로당,"진주시 남강로1467(하대동, 삼전1차) "
1463,진주시,하대경로당,진주시 모덕로394번길 11-3 
1464,진주시,한보타워맨션경로당,"진주시 모덕로306번길 2(하대동, 한보타워맨션) "
1465,진주시,한보힐타워경로당,"진주시 상대로143번길 11-2(하대동, 한보힐타워) "
1466,진주시,상대주공아파트경로당,"진주시 상대로 101, 상가2층(하대동, 상대주공아파트) "
1467,진주시,하대주공아파트경로당,"진주시 상대로 125, 상가2층(하대동, 하대주공아파트) "
1468,진주시,삼전프라자아파트경로당,진주시 도동로 251(하대동) 
1469,진주시,상평동동경로당,진주시 큰들로 184-1(상평동) 
1470,진주시,상평서동경로당,"진주시 남강로1117번길 20,1,2층(상평동) "
1471,진주시,동국제2강변타워경로당,"진주시 돗골로19번길 12,2층(상평동,동국제2강변타워) "
1472,진주시,동국제1강변타워경로당,"진주시 큰들로66번길 12(상평동,동국제1강변타워) "
1473,진주시,상평동일스위트경로당,"진주시 공단로 30(상평동,상평동일스위트) "
1474,진주시,대림A경로당,"진주시 남강로 951(상평동,대림A) "
1475,진주시,진주센트럴자이A경로당,"진주시 도동천로48(상평동,진주센트럴자이A) "
1476,진주시,송림경로당,진주시 솔밭로 76-1(상평동) 
1477,진주시,동신A경로당,"진주시 돗골로117번길 15(상평동,동신A) "
1478,진주시,돗골경로당,진주시 돗골로94번길 17-10 
1479,진주시,중촌경로당,"진주시 하촌로196번길 19-4,2층(하촌동) "
1480,진주시,하촌경로당,진주시 하촌로96번길 49(하촌동) 
1481,진주시,장재경로당,진주시 진산로 339-2(장재동) 
1482,진주시,천곡경로당,진주시 장재새미길 21(장재동) 
1483,진주시,초북경로당,진주시 초전북로19번길 5-2(초전동) 
1484,진주시,초남경로당,"진주시 대신로475번길 7,2층(초전동) "
1485,진주시,모퉁이마을경로당,진주시 초전남로39번길2(초전동) 
1486,진주시,일동A경로당,"진주시 초전북로 20(초전동,초전일동A) "
1487,진주시,초전대림경로당,"진주시 말띠고개로 113(초전동,초전대림A) "
1488,진주시,청구A경로당,진주시 대신로475번길 16-5(초)(1층) 
1489,진주시,초전현대A(2단지)경로당,"진주시 초전남로 46(초전동,현대A) "
1490,진주시,현대A1단지경로당,"진주시 초전남로 60(초전동,현대A) "
1491,진주시,초전흥한A경로당,"진주시 초전남로 30(초전동,초전흥한A) "
1492,진주시,초전푸르지오1단지경로당,"진주시 초장로14번지 27(초전동,초전푸르지오1단지) "
1493,진주시,초전푸르지오2단지경로당,"진주시 초장로14번길 29(초전동,초전푸르지오2단지) "
1494,진주시,해모로루비채4단지경로당,"진주시 초북로 55(초전동,초전해모루루비채4단지) "
1495,진주시,진주초장엠코타운경로당,"진주시 초북로 77(초전동,진주초장엠코타운더이스턴파크) "
1496,진주시,이지더원경로당,"진주시 초장로120(초전동,이지더원) "
1497,진주시,덕곡경로당,진주시 석갑로142번길 26(신안동) 
1498,진주시,그린타운경로당,"진주시 석갑로156번길 19(신안동,그린타운) "
1499,진주시,국제A경로당,"진주시 석갑로 138(신안동,신안국제맨션) "
1500,진주시,신흥경로당,진주시 석갑로89번길 3-4(신안동) 
1501,진주시,샛터경로당,"진주시 진양호로239번길 12-10,1층2층(평거동) "
1502,진주시,평거하우스토리경로당,"진주시 진양호로239번길 13(평거동,평거하우스토리) "
1503,진주시,한보하이타운경로당,"진주시 순환로553번길 7,3층(평거동,한보하이타운) "
1504,진주시,평거주공1차A경로당,"진주시 진양호로185번길 7(평거동,주공1차A) "
1505,진주시,신안주공2차A경로당,"진주시 신안들말길 47(신안동,주공2차A) "
1506,진주시,신안주공2차A할머니경로당,"진주시 신안들말길 47,2층(신안동,주공2차A) "
1507,진주시,신안주공3차A경로당,"진주시 석갑로 58,3층(신안동,주공3차A) "
1508,진주시,들말대경A경로당,"진주시 석갑로53번길 10(평거동,들말대경A) "
1509,진주시,들말흥한A경로당,"진주시 석갑로 45(평거동,들말흥한A) "
1510,진주시,들말한보A경로당,"진주시 평거로39번길 9,2층(평거동,들말한보A) "
1511,진주시,신안주공1차A경로당,"진주시 신안들말길 17(신안동,주공1차) "
1512,진주시,휴먼시아3단지경로당,"진주시 새평거로 111(평거동,평거휴먼시아3단지) "
1513,진주시,대경그린파크경로당,"진주시 순환로573번길 21(평거동,대경그린파크) "
1514,진주시,엘크루경로당,진주시 새평거로 112 
1515,진주시,숯골경로당,진주시 진주시 석갑로 115-4(신안동)
1516,진주시,건영아모리움아파트경로당,진주시 진주시 진양호로225번길 13
1517,진주시,신안경로당,진주시 신안로126번길12 
1518,진주시,천수경로당,진주시 남강로543번길 25-1 
1519,진주시,현대아파트경로당,진주시 천수로 315 
1520,진주시,한보타워경로당,진주시 남강로491번길 12 
1521,진주시,한주파크경로당,진주시 남강로 479 
1522,진주시,신안1차흥한타운경로당,진주시 진양호로328번길 4 
1523,진주시,흥한2차아파트경로당,진주시 평거로139번길11-3 
1524,진주시,평거1차현대아파트경로당,진주시 평거로115번길 5 
1525,진주시,평거2차현대아파트경로당,진주시 신안들말길 58 
1526,진주시,녹지경로당,진주시 신안들말길10번길 17-1 
1527,진주시,유곡경로당,진주시 유곡죽전길 26(유곡동) 
1528,진주시,유곡한보A경로당,"진주시 진주대로 1278(유곡동,유곡한보A) "
1529,진주시,버드골경로당,진주시 진주대로1310번길 9(유곡동) 
1530,진주시,유현경로당,진주시 나불로8번길 48(유곡동) 
1531,진주시,각한경로당,진주시 나불로100번길 13(유곡동) 
1532,진주시,나부리경로당,진주시 나불로 178-1(유곡동) 
1533,진주시,이현북동경로당,진주시 이현두곡길 53-3(이현동) 
1534,진주시,면호실경로당,진주시 나불로21번길 130(이현동) 
1535,진주시,이현A경로당,"진주시 서장대로 235(이현동,주공A) "
1536,진주시,촉석경로당,진주시 평거로264번길 16-1(이현동) 
1537,진주시,덕산A경로당,"진주시 서장대로178번길 17(이현동,진주덕산A) "
1538,진주시,이현남동경로당,진주시 숙호산로 58-5(이현동) 
1539,진주시,이현웰가경로당,"진주시 진주대로 1317(이현동,이현하이클래스웰가) "
1540,진주시,만물도랑경로당,진주시 평거로284번길 6(이현동) 
1541,진주시,판문본동경로당,진주시 진양호로143번길 10(평거동) 
1542,진주시,하영무지개경로당,"진주시 진양호로 153(평거동,하영무지개맨션) "
1543,진주시,벽산동신2A경로당,"진주시 진양호로125번길 22-12(평거동,벽산동신A) "
1544,진주시,조라골경로당,"진주시 진양호로125번길 27,평거제1어린이공원내(평거동) "
1545,진주시,하영그린경로당,"진주시 진양호로97번길 8-3(평거동,하영그린맨션) "
1546,진주시,국민주택경로당,"진주시 진양호로97번길 20(평거동,국민주택A) "
1547,진주시,평거한보A경로당,"진주시 진양호로97번길 19-6(평거동,한보타운) "
1548,진주시,판문새동네경로당,진주시 진양호로79번길 12(판문동) 
1549,진주시,판문현대A경로당,"진주시 진양호로51번길 6-7(판문동,현대A) "
1550,진주시,판문남동경로당,진주시 판문로 55(판문동) 
1551,진주시,판문오동경로당,진주시 판문오동길 55-11(판문동) 
1552,진주시,판문샛터경로당,진주시 판문로229번길 11(판문동) 
1553,진주시,상촌복지경로당,진주시 판문로406번길 9-1(판문동) 
1554,진주시,중촌복지경로당,진주시 판문로358번길 4-1(판문동) 
1555,진주시,판문북동경로당,진주시 판문로322번길 4(판문동) 
1556,진주시,평거휴먼시아4단지경로당,"진주시 새평거로 75(평거동,평거휴먼시아4단지) "
1557,진주시,진주평거5단지경로당,"진주시 새평거로 70(평거동,엘에이치5단지) "
1558,진주시,평거엠코경로당,"진주시 새평거로 30, 104동 1충 실버타운(평거동,엠코타운더프라하) "
1559,진주시,더퀸즈웰가아파트경로당,"진주시 새평거로 25(평거동, 더퀸즈웰가@) "
1560,진주시,가호경로당,진주시 진주대로 653 (가좌동) 
1561,진주시,주개경로당,진주시 진주대로404번길 20-21(가좌동) 
1562,진주시,호탄경로당,진주시 동부로 89(호탄동) 
1563,진주시,가좌복지관경로당,"진주시 가호로26, 가좌복지관 내 "
1564,진주시,가좌주공아파트경로당,"진주시 가호로26, 가좌동, 가좌2주공A) "
1565,진주시,가좌3주공아파트경로당,진주시 진주대로568번길 12 가좌3주공아파트 
1566,진주시,가좌그린빌아파트경로당,진주시 내동로348번길 10 가좌그린빌A 
1567,진주시,대경빌라트경로당,진주시 가호로79 대경빌라트 
1568,진주시,대동아파트경로당,진주시 가호로 44번길 7 대동아파트 
1569,진주시,가호에일린의뜰경로당,"진주시 강변길 31(가좌동, 에일린의 뜰) "
1570,진주시,가좌올리움아파트경로당,진주시 가호로 17-10 올리움아파트 
1571,진주시,가호동삼성아파트경로당,진주시 동부로43번길 10-13 
1572,진주시,센트럴웰가경로당,진주시 진주역로73번길 33 
1573,진주시,시티프라디움아파트경로당,진주시 진주역로 114 
1574,진주시,진주혁신도시센텀리버파크경로당,"진주시 사들로 157(충무공동,혁신도시LH아파트1단지) "
1575,진주시,혁신도시LH3단지경로당,"진주시 대밭골로91(충무공동, 혁신도시LH아파트 3단지) "
1576,진주시,진주혁신코오롱하늘채경로당,"진주시 사들로 126(충무공동,혁신도시LH아파트4단지) "
1577,진주시,경남혁신도시LH5단지경로당,"진주시 충의로 67(충무공동,혁신도시LH아파트 5단지) "
1578,진주시,혁신도시LH8단지경로당,"진주시 충의로 67(충무공동,혁신도시LH아파트 8단지) "
1579,진주시,엔에이치에프10단지경로당,"진주시 에나로228번길 10(충무공동, 혁신도시엔에이치에프10단지) "
1580,진주시,한림풀에버아파트경로당,"진주시 소호로 39(충무공동, 한림풀에버A) "
1581,진주시,진주포레스트부영아파트경로당,"진주시 영천강로 60(충무공동,진주포레스트부영아파트) "
1582,통영시,곤리,산양읍 곤리길 43
1583,통영시,관유(당포),산양읍 관유길 85
1584,통영시,궁항,산양읍 궁항길 23
1585,통영시,금평,산양읍 금평길 196
1586,통영시,남전,산양읍 둔전길 86
1587,통영시,달아,산양읍 산양일주로 1026 
1588,통영시,당포,산양읍 당포길 9 
1589,통영시,대항,산양읍 추도일주로 15-9
1590,통영시,동부,산양읍 양화길 6
1591,통영시,마동,산양읍 척포길 183-5
1592,통영시,명지,산양읍 풍화일주로 649-3
1593,통영시,미조,산양읍 미조길 10
1594,통영시,봉전,산양읍 산양일주로 694
1595,통영시,세포,산양읍 세포큰길 80-5
1596,통영시,송정,산양읍 산양중앙로 14-1
1597,통영시,수륙,산양읍 수륙길 40-12
1598,통영시,수월,산양읍 풍화일주로 536
1599,통영시,신봉,산양읍 산양일주로 557 
1600,통영시,양산(죽전),산양읍 양산길 80 
1601,통영시,연대,산양읍 연대길 20
1602,통영시,연명,산양읍 연명1길 1
1603,통영시,원항,산양읍 원항1길 46
1604,통영시,이운,산양읍 이운길 54
1605,통영시,일운,산양읍 산양일주로 285 
1606,통영시,장촌,산양읍 풍화일주로 220-1
1607,통영시,저도,산양읍 저도길 39-10
1608,통영시,죽전,산양읍 산양중앙로 60
1609,통영시,중부,산양읍 풍화일주로 412
1610,통영시,중화,산양읍 산양일주로 1434
1611,통영시,탑내(금평),산양읍 금평길 101
1612,통영시,학림,산양읍 학림길 120
1613,통영시,항촌,산양읍 항촌길 20
1614,통영시,해란,산양읍 풍화일주로 838-18
1615,통영시,거망,용남면 거망길 24
1616,통영시,견유,용남면 견유2길 98-24
1617,통영시,기호,용남면 기호바깥길 33-1
1618,통영시,내포,용남면 원평길 477
1619,통영시,달포,용남면 달포큰길 70
1620,통영시,대곡,용남면 대곡길 135
1621,통영시,대방포,용남면 대방길 88-18
1622,통영시,대안,용남면 대안2길 21
1623,통영시,동남,"용남면 남해안대로 416-7, 2층"
1624,통영시,동부,용남면 동부길 15
1625,통영시,동암,용남면 용남해안로 417
1626,통영시,동원로얄듀크,용남면 장평신촌1길 29(동원로얄듀크1차아파트)
1627,통영시,미진2차,"용남면 남해안대로 432, 117동(미진이지비아2차아파트 경로당)"
1628,통영시,상삼,용남면 용남해안로 61
1629,통영시,서부,용남면 서부길 54-28
1630,통영시,선촌,용남면 선촌길 15
1631,통영시,신리,용남면 신리길 11
1632,통영시,신촌,용남면 장평신촌1길 81
1633,통영시,양촌,용남면 삼화양촌길 67
1634,통영시,어의,용남면 어의길 101
1635,통영시,연기,용남면 연기길 336-4
1636,통영시,오촌,용남면 오촌길 50
1637,통영시,원문,용남면 원문마을1길 8
1638,통영시,음촌,용남면 삼화음촌길 18-14
1639,통영시,적촌,용남면 적촌2길 33
1640,통영시,죽촌,용남면 원평길 86
1641,통영시,청구,"용남면 대곡길12, 복리동-1-1"
1642,통영시,해간,용남면 해간길 57
1643,통영시,화포,용남면 화포2길 78
1644,통영시,가오치,도산면 도산일주로 483
1645,통영시,구촌,도산면 구촌길 120-3
1646,통영시,노전,도산면 노전길 23-4
1647,통영시,덕치,도산면 덕치2길 3
1648,통영시,도선,도산면 신평길 44-6
1649,통영시,동촌,도산면 도산일주로 792
1650,통영시,마상촌,도산면 마상촌길 101-8
1651,통영시,범골,도산면 호곡길 197
1652,통영시,법송,도산면 도산일주로 7
1653,통영시,분지포,도산면 분지포길 142
1654,통영시,사계,도산면 원산길 372
1655,통영시,상양지,도산면 도산일주로 1315
1656,통영시,상촌,도산면 법송상촌길 74-9
1657,통영시,서촌,도산면 저산서촌길 70
1658,통영시,송계,도산면 도산일주로 2167
1659,통영시,수월,도산면 수월2길 43
1660,통영시,오륜동,도산면 도산일주로 252
1661,통영시,오산,도산면 오산길 86
1662,통영시,원동,도산면 원동길 59-17
1663,통영시,잠포,도산면 잠포길 122
1664,통영시,지법,도산면 지법길 73
1665,통영시,평촌,도산면 평촌1길 59
1666,통영시,하양지,도산면 도산일주로 1373-1
1667,통영시,한퇴,도산면 한퇴1길 84
1668,통영시,구집,광도면 덕포로 408
1669,통영시,노산,광도면 노산2길 34
1670,통영시,대촌,광도면 우동2길 40
1671,통영시,더팰리스,광도면 죽림3로 13(주영더팰리스)
1672,통영시,무량,광도면 무량1길 68
1673,통영시,상노산,광도면 상노산길 34-4
1674,통영시,상촌,광도면 벽방4길 158
1675,통영시,손덕,광도면 덕포로 177
1676,통영시,수직,광도면 수직길 31
1677,통영시,신원아르시스,광도면 죽림3로 36 경로당(신원아르시스)
1678,통영시,예포,광도면 예포길 247
1679,통영시,용호,광도면 용호1길 16
1680,통영시,원문,광도면 용호로 10
1681,통영시,윗상촌,광도면 안정2길 22-5
1682,통영시,일성유수안아파트,광도면 죽림2로 14-23 일성유수안아파트
1683,통영시,임내,광도면 임내길 37
1684,통영시,임외,광도면 안정로 930
1685,통영시,적덕,광도면 적덕길 25
1686,통영시,전두,광도면 전두2길 30
1687,통영시,조암,광도면 조암길 55
