연번,시군명,시설명,주소
92,창원시,무동경로당,의창구 북면 무동안길 20-5
93,창원시,무동휴먼빌경로당(1단지),"의창구 북면 동곡로 33, 108동"
94,창원시,무동휴먼빌2단지아파트경로당,의창구 북면 동곡로 35
95,창원시,무동휴먼빌3단지아파트경로당,의창구 북면 무동로226번길 19
96,창원시,바깥신천경로당,의창구 북면 천주로 1398-12
97,창원시,북면경로당,의창구 북면 천주로1128번길 8
98,창원시,소라경로당,의창구 북면 온천로587번길 17-3
99,창원시,상천(봉촌)경로당,의창구 북면 온천로 648-22
100,창원시,센텀파라디아아파트경로당,의창구 북면 무동서로 24
101,창원시,송촌경로당,의창구 북면 무릉산길 239-3
102,창원시,승산경로당,의창구 북면 구룡로 339
103,창원시,신기경로당,의창구 북면 천주로 1337
104,창원시,신동경로당,의창구 북면 천주로 1337
105,창원시,신리경로당,의창구 북면 신리길35번길 2
106,창원시,신리부녀경로당,의창구 북면 신리길 17
107,창원시,신목경로당,의창구 북면 천주로1263번길 2
108,창원시,신우경로당,의창구 북면 신촌본포로 12-10
109,창원시,신음경로당,의창구 북면 무릉산길 2
110,창원시,신천경로당,의창구 북면 하천로 245
111,창원시,신한1차아파트경로당,의창구 북면 천주로 1104(신한그린파크맨션)
112,창원시,신한2차아파트경로당,의창구 북면 천주로 1103(신한2차아파트)
113,창원시,양지경로당,의창구 북면 구룡로314번길 1
114,창원시,양촌경로당,의창구 북면 운무로783번길 60
115,창원시,연동경로당,의창구 북면 신촌본포로 186
116,창원시,온천남자경로당,의창구 북면 천주로1128번길 8
117,창원시,온천부녀경로당,의창구 북면 천주로1128번길 8
118,창원시,외감경로당,의창구 북면 달천길52번길 28
119,창원시,외감부인경로당,의창구 북면 달천길52번길 28
120,창원시,월계경로당,의창구 북면 월계길9번길 87
121,창원시,월백경로당,의창구 북면 백월로167번길 14
122,창원시,월백부녀경로당,의창구 북면 백월로167번길 14
123,창원시,월촌경로당,의창구 북면 백월로87번월촌길 54
124,창원시,중리경로당,의창구 북면 단내로 701-14
125,창원시,중방경로당,의창구 북면 중방길 3-22
126,창원시,중촌경로당,의창구 북면 하천로86번길 22-1
127,창원시,지개경로당,의창구 북면 구룡로38번길 39
128,창원시,천수림아파트경로당,"의창구 북면 감계로 222, 103동 지하1층 (천수림)"
129,창원시,청우아파트경로당,의창구 북면 천주로1083번길 10-1
130,창원시,초소경로당,의창구 북면 외산로 207
131,창원시,춘광1차아파트경로당,의창구 북면 신촌본포로 14(춘광아파트)
132,창원시,춘광2차아파트경로당,의창구 북면 신촌본포로 12-13(춘광아파트)
133,창원시,춘광마을경로당,의창구 북면 신촌본포로 28
134,창원시,하천(대촌)경로당,의창구 북면 하천로 129
135,창원시,현도경로당,의창구 북면 외산로117번길 9
136,창원시,현천노인당,의창구 북면 단내로591번길 8-10
137,창원시,화천경로당,의창구 북면 천주로480번길 10-3
138,창원시,화천부녀경로당,의창구 북면 천주로480번길 10-3
139,창원시,신전경로당,의창구 대산면 갈전로 17
140,창원시,상리경로당,의창구 대산면 갈전로 67-13
141,창원시,갈전경로당,의창구 대산면 죽송로119번길 7-16
142,창원시,갈전부인경로당,의창구 대산면 대산북로385번길 16
143,창원시,평리경로당,의창구 대산면 대산북로385번길 18-3
144,창원시,송정경로당,의창구 대산면 죽송로 119번길 10
145,창원시,유목경로당,의창구 대산면 갈전로90번길 16 
146,창원시,일동경로당,의창구 대산면 갈전로119번길 10 -1
147,창원시,일동부인경로당,의창구 대산면 갈전로119번길 3-19
148,창원시,구산경로당,의창구 대산면 대산북로524번길 97-10
149,창원시,당리경로당,의창구 대산면 대산북로485번길 23
150,창원시,신성경로당,의창구 대산면 대산북로 517
151,창원시,수성경로당,의창구 대산면 대산북로 568-15
152,창원시,북모산경로당,의창구 대산면 대산북로751번길 5
153,창원시,남모산경로당,의창구 대산면 모산길 34
154,창원시,송등경로당,의창구 대산면 진산대로506번길 46-18
155,창원시,북가술경로당,의창구 대산면 가술길 37
156,창원시,해강그린아파트경로당,"의창구 대산면 진산대로 437, 1206호 (해강아파트)"
157,창원시,남가술경로당,의창구 대산면 가술길 13-1
158,창원시,남가술부인경로당,의창구 대산면 주남로 559-7
159,창원시,가촌경로당,의창구 대산면 봉강가술로 471번길 34-13
160,창원시,장등경로당,의창구 대산면 주남로483번길 22
161,창원시,신등경로당,의창구 대산면 가술산남로 65
162,창원시,신동경로당,의창구 대산면 가술산남로12번길 22-2
163,창원시,백양경로당 ,의창구 대산면 가술산남로130번길 24
164,창원시,주남경로당,의창구 대산면 주남로327번길 35-44 
165,창원시,대방경로당,의창구 대산면 봉강가술로358번길 28-5
166,창원시,대방여성경로당,의창구 대산면 봉강가술로 421
167,창원시,제동경로당,의창구 대산면 제동길 39-17
168,창원시,제동부인경로당,의창구 대산면 제동길 24-2
169,창원시,중앙경로당,의창구 대산면 주남로394번길 33 5통 5반
170,창원시,삼봉경로당,의창구 대산면 진산대로292번길 35
171,창원시,대진경로당,의창구 대산면 진남로114번길 57
172,창원시,상포부녀경로당,의창구 대산면 진남로114번길 143
173,창원시,상등경로당,의창구 대산면 주남로416번길 17
174,창원시,고등포경로당,의창구 대산면 주남로394번길 55
175,창원시,남포경로당,의창구 대산면 진남로 69-10
176,창원시,우암마을경로당,의창구 대산면 북부로10번길32
177,창원시,덕현경로당,의창구 대산면 우암로 27
178,창원시,월림경로당,의창구 대산면 우암로79번길 6 -1
179,창원시,신곡부인경로당,의창구 대산면 우암로 100
180,창원시,신곡경로당,의창구 대산면 우암로 139
181,창원시,용등경로당,의창구 대산면 우암로 183
182,창원시,중포마을경로당,의창구 대산면 진산대로260번길 84 
183,창원시,동부경로당,의창구 대산면 대산북로899번길 11
184,창원시,서부경로당,의창구 대산면 대산북로893번길 28
185,창원시,유청경로당,의창구 대산면 유등로 366
186,창원시,유등경로당,의창구 대산면 유등로 413
187,창원시,유등부인경로당,의창구 대산면 유등로387번길 10
188,창원시,동곡경로당,의창구 대산면 유등남길40번길 6
189,창원시,대산NHF1단지경로당,"의창구 대산면 주남로 514, 101동 1403호(엔에이치에프창원대산1단지)"
190,창원시,소답경로당,의창구 의안로 32번길 34-1(소답동)
191,창원시,재건경로당,의창구 읍성로 41번길 2-9(북동)
192,창원시,중동경로당,의창구 의안로 31번길 14-1(중동)
193,창원시,북동경로당,의창구 의안로 55번길 34-1(북동)
194,창원시,동정경로당,의창구 동정길 31-6(동정동)
195,창원시,서상경로당,의창구 천주로 12번길 12-6(서상동)
196,창원시,무학아파트경로당,의창구 의창대로 139번길 23(동정동)
197,창원시,소계경로당,의창구 금강로 355번길 39(소계동)
198,창원시,의창경로당,의창구 의안로 56번길 21(소답동)
199,창원시,오성아파트 경 로 당,"의창구 서상로 27(동정동, 동정오성아파트)"
200,창원시,흥한웰가 경 로 당,"의창구 천주로 33(동정동, 흥한웰가아파트) "
201,창원시,대동다숲 경 로 당,"의창구 팔용로 512 (서상동,중동대동 다숲아파트)"
202,창원시,강무경로당,의창구 서상로 25번길 10-9 (동정동)
203,창원시,천주경로당,의창구 소계로 128(소계동)
204,창원시,소답제2 경로당,의창구 읍성로 117번길23 (소답동)
205,창원시,무학서문마을아파트경로당,의창구 서상로12번길 83-15 (서상동)
206,창원시,유니시티2단지아파트경로당,"의창구 중동로 33 (중동,유니시티2단지A)"
207,창원시,유니시티1단지아파트경로당,"의창구 중동로 34 (중동,유니시티1단지A) 111동 1층"
208,창원시,유니시티4단지아파트경로당,의창구 중동로78(중동유니시티4단지A) 시니어클럽(경로당) 402동 1층
209,창원시,유니시티3단지아파트경로당,의창구 중동로77(중동) 302동 창원중동유니시티3단지아파트경로당
210,창원시,팔룡 제1경로당,의창구 팔용로423번길 5
211,창원시,팔룡제2경로당,의창구 사화로80번길 16
212,창원시,구슬비경로당,의창구 남산로27번길 16
213,창원시,대동중앙(아)경로당,의창구 반계로 101
214,창원시,극동아파트경로당,의창구 팔용로 446
215,창원시,차룡대동(아)경로당,의창구 반계로 95
216,창원시,벽산블루밍A단지경로당,의창구 반계로 104-9
217,창원시,벽산블루밍B단지경로당,의창구 반계로 104-8
218,창원시,벽산블루밍C단지경로당,의창구 남산로 20
219,창원시,명곡경로당,의창구 태복산로15번길 8
220,창원시,낙원경로당,의창구 도계로73번길 19
221,창원시,안골경로당,의창구 하남천서길65
222,창원시,도계경로당,의창구 도계두리길86번길 14-2
223,창원시,새동네경로당,의창구 도계로4번길 18-1
224,창원시,도계휴먼시아경로당,의창구 원이대로82번길
225,창원시,명서2경로당,의창구 우곡로 73
226,창원시,명서주민복지회관경로당,의창구 우곡로101번길 30-3
227,창원시,명서1경로당,의창구 원이대로270번길 18
228,창원시,명지경로당,의창구 명서로123번길 9
229,창원시,서곡경로당,의창구 명지로109번길 18
230,창원시,두산위브경로당,의창구 도계로 135
231,창원시,지귀경로당,의창구 봉곡로3번길 15
232,창원시,봉곡경로당,의창구 봉곡로24번길 9-20
233,창원시,연덕경로당,의창구 봉곡로68번길 16
234,창원시,동부경로당,의창구 봉곡로111번길 35
235,창원시,봉곡복지경로당,의창구 창이대로165번길 7
236,창원시,사림제1경로당,의창구 창이대로343번길 94-9
237,창원시,사림제2경로당,의창구 사림로16번길 27
238,창원시,정병산경로당,의창구 용지로281번길 10
239,창원시,웅남경로당,의창구 사림로71번길 18
240,창원시,봉촌경로당,의창구 지귀로73번길 8-27
241,창원시,봉덕경로당,의창구 봉곡로120번길 28-10
242,창원시,휴먼시아1단지경로당,의창구 소봉로 50
243,창원시,휴먼시아 2단지경로당,의창구 대봉로 25 
244,창원시,피닉스포레경로당,의창구 대봉로 27
245,창원시,코오롱아파트경로당,의창구 지귀로95번길 7
246,창원시,까치1차(아)경로당,성산구 창원천로 254 (반지동)
247,창원시,까치2단지(아)경로당,성산구 창원천로 256 (반지동)
248,창원시,노블파크(아)경로당,성산구 원이대로 449 (반림동)
249,창원시,대동(아)경로당,성산구 창원천로 292 (반지동)
