연번,시군명,시설명,주소,분회명,회원수,운영형태
1096,진주시,정촌올리움아파트경로당,진주시 정촌면 삼일로 12,미천면,9,남여혼합
1097,진주시,엄정경로당,진주시 금곡면 검암길 110    ,금곡면,36,남여혼합
1098,진주시,운문경로당,진주시 금곡면 금곡로 145    ,금곡면,36,남여혼합
1099,진주시,차현경로당,진주시 금곡면 금곡로78번길 2    ,금곡면,39,남여혼합
1100,진주시,검당경로당,진주시 금곡면 월아산로 425-17    ,금곡면,17,남여혼합
1101,진주시,신담경로당,진주시 금곡면 월아산로479번길 5    ,금곡면,19,남여혼합
1102,진주시,가봉경로당,진주시 금곡면 문산로 358    ,금곡면,19,남여혼합
1103,진주시,가수동경로당,진주시 금곡면 문산로 266-1    ,금곡면,21,남여혼합
1104,진주시,우봉경로당,진주시 금곡면 금곡로 453    ,금곡면,38,남여혼합
1105,진주시,송곡경로당,진주시 금곡면 송곡길 106    ,금곡면,44,남여혼합
1106,진주시,정자경로당,진주시 금곡면 정자천로 66    ,금곡면,48,남여혼합
1107,진주시,홍정경로당,진주시 금곡면 홍정길52번길 5    ,금곡면,37,남여혼합
1108,진주시,시평경로당,진주시 금곡면 월아산로480번길 26    ,금곡면,25,남여혼합
1109,진주시,인담경로당,진주시 금곡면 무선산로 550-5    ,금곡면,55,남여혼합
1110,진주시,상인담경로당,진주시 금곡면 무선산로464번길 40    ,금곡면,17,남여혼합
1111,진주시,동례경로당,진주시 금곡면 월아산로 282    ,금곡면,50,남여혼합
1112,진주시,신대경로당,진주시 금곡면 월아산로201번길 5    ,금곡면,42,남여혼합
1113,진주시,두문경로당,진주시 금곡면 두문길 115    ,금곡면,50,남여혼합
1114,진주시,세경경로당,진주시 금곡면 월아산로115번길 22-10(2층)    ,금곡면,34,남성전용
1115,진주시,세경할머니경로당,진주시 금곡면 구암두문로 1021-5(2층)    ,금곡면,66,여성전용
1116,진주시,석계경로당,진주시 금곡면 구암두문로986번길 32    ,금곡면,31,남여혼합
1117,진주시,장재경로당,진주시 금곡면 죽곡길118번길 64-1    ,금곡면,22,남여혼합
1118,진주시,죽곡경로당,진주시 금곡면 죽곡길105번길 17(2층)    ,금곡면,60,남여혼합
1119,진주시,성산경로당,진주시 금곡면 성산길28번길 102    ,금곡면,42,남여혼합
1120,진주시,덕계경로당,진주시 금곡면 성산길 188    ,금곡면,43,남여혼합
1121,진주시,진성경로당,진주시 진성면 동부로 1336-9 ,진성면,72,남여혼합
1122,진주시,교동경로당,진주시 진성면진성로349번길 3 ,진성면,41,남여혼합
1123,진주시,상동경로당,진주시 진성면진성로 459 ,진성면,51,남여혼합
1124,진주시,예음경로당,진주시 진성면 동부로1345번길 24-11 ,진성면,66,남여혼합
1125,진주시,구천경로당,진주시 진성면진성로259번길 17 ,진성면,45,남여혼합
1126,진주시,도동경로당,진주시 진성면진성로276번길 149 ,진성면,24,남여혼합
